Wall time,Step,Value
1649281376.3207283,22269,0.607218325138092
1649287686.3603835,44539,0.5851597785949707
1649293980.0485327,66809,0.5615135431289673
1649300245.5653412,89079,0.5354947447776794
1649306569.4983082,111349,0.5194111466407776
1649312929.225695,133619,0.5411229133605957
